,ESTADO,PRODUTO,MES_ANO,VL_VENDA
149,AC,DIESEL,08/2008,2.0
150,AC,DIESEL,08/2009,2.0
151,AC,DIESEL,08/2010,2.0
152,AC,DIESEL,08/2011,2.0
153,AC,DIESEL,08/2012,2.0
154,AC,DIESEL,08/2013,2.0128205128205128
155,AC,DIESEL,08/2014,2.5806451612903225
156,AC,DIESEL,08/2015,3.0
157,AC,DIESEL,08/2016,3.0
158,AC,DIESEL,08/2017,3.2837837837837838
159,AC,DIESEL,08/2018,3.9565217391304346
160,AC,DIESEL,08/2019,4.0
161,AC,DIESEL,08/2020,3.84375
162,AC,DIESEL,08/2021,5.3428571428571425
163,AC,DIESEL,08/2022,6.883116883116883
164,AC,DIESEL,08/2023,6.378378378378378
165,AC,DIESEL,08/2024,7.021739130434782
166,AC,DIESEL,09/2004,1.1
167,AC,DIESEL,09/2005,1.5810810810810811
168,AC,DIESEL,09/2006,2.0
169,AC,DIESEL,09/2007,2.0
170,AC,DIESEL,09/2008,2.0
171,AC,DIESEL,09/2009,2.0
172,AC,DIESEL,09/2010,2.0
173,AC,DIESEL,09/2011,2.0
174,AC,DIESEL,09/2012,2.0
175,AC,DIESEL,09/2013,2.297872340425532
176,AC,DIESEL,09/2014,2.3389830508474576
177,AC,DIESEL,09/2015,3.0
178,AC,DIESEL,09/2016,3.0
179,AC,DIESEL,09/2017,3.0238095238095237
180,AC,DIESEL,09/2018,4.0
181,AC,DIESEL,09/2019,4.0
182,AC,DIESEL,09/2020,3.7142857142857144
183,AC,DIESEL,09/2021,5.4
184,AC,DIESEL,09/2022,7.0
185,AC,DIESEL,09/2023,5.1
186,AC,DIESEL,09/2024,7.125
187,AC,DIESEL,10/2004,1.0360360360360361
188,AC,DIESEL,10/2005,1.4509803921568627
189,AC,DIESEL,10/2006,2.0
190,AC,DIESEL,10/2007,2.0
191,AC,DIESEL,10/2008,2.0
192,AC,DIESEL,10/2009,2.0
193,AC,DIESEL,10/2010,2.0
194,AC,DIESEL,10/2011,2.0
195,AC,DIESEL,10/2012,2.0
196,AC,DIESEL,10/2013,2.056603773584906
197,AC,DIESEL,10/2014,2.336206896551724
198,AC,DIESEL,10/2015,3.0
199,AC,DIESEL,10/2016,3.0
200,AC,DIESEL,10/2017,3.59375
201,AC,DIESEL,10/2018,4.0
202,AC,DIESEL,10/2019,4.0
203,AC,DIESEL,10/2020,4.0
204,AC,DIESEL,10/2021,4.672413793103448
205,AC,DIESEL,10/2022,6.5
206,AC,DIESEL,10/2023,6.304347826086956
207,AC,DIESEL,10/2024,6.781818181818182
208,AC,DIESEL,11/2004,1.2222222222222223
209,AC,DIESEL,11/2005,1.5942028985507246
210,AC,DIESEL,11/2006,2.0
211,AC,DIESEL,11/2007,2.0
212,AC,DIESEL,11/2008,2.0
213,AC,DIESEL,11/2009,2.0
214,AC,DIESEL,11/2010,2.0
215,AC,DIESEL,11/2011,2.0
216,AC,DIESEL,11/2012,2.0
217,AC,DIESEL,11/2013,2.1746031746031744
218,AC,DIESEL,11/2014,2.9056603773584904
219,AC,DIESEL,11/2015,3.0
220,AC,DIESEL,11/2016,3.0
221,AC,DIESEL,11/2017,3.1315789473684212
222,AC,DIESEL,11/2018,3.973684210526316
223,AC,DIESEL,11/2019,4.0
224,AC,DIESEL,11/2020,4.0
225,AC,DIESEL,11/2021,5.25531914893617
226,AC,DIESEL,11/2022,6.684210526315789
